['Algorithm: FCFS', 'CPU Utilization: 93.80530973451327%', 'IO Utilization: 37.7212389380531%', 'Average Turnaround Time: 361.4 s', 'Average Ready Wait Time: 132.8 s', 'Average I/O Wait Time: 0.0 s']
['Algorithm: PB', 'CPU Utilization: 82.8125%', 'IO Utilization: 33.30078125%', 'Average Turnaround Time: 338.2 s', 'Average Ready Wait Time: 109.6 s', 'Average I/O Wait Time: 0.0 s']
['Algorithm: RR', 'CPU Utilization: 91.77489177489177%', 'IO Utilization: 36.904761904761905%', 'Average Turnaround Time: 373.8 s', 'Average Ready Wait Time: 137.6 s', 'Average I/O Wait Time: 7.6 s']
